"Story","Title","Result","Date","Stability","Duration (s)"
"US1_Login","US1_Login - Login exitoso","SUCCESS","2022-10-17T06:37:16.488-03:00[America/Buenos_Aires]","0.0","37.93"
"US1_Login","US1_Login - Login con datos incompletos","PENDING","2022-10-17T06:37:55.275-03:00[America/Buenos_Aires]","0.0","11.88"
"US1_Login","US1_Login - Login con datos invalidos","PENDING","2022-10-17T06:38:07.975-03:00[America/Buenos_Aires]","0.0","21.79"
